Age,Income,Cluster
0.05882352941176472,0.21367521367521375,1
0.17647058823529416,0.38461538461538464,1
0.17647058823529416,0.13675213675213677,1
0.11764705882352944,0.12820512820512825,1
0.9411764705882355,0.8974358974358976,0
0.7647058823529411,0.9401709401709404,0
0.8823529411764706,0.982905982905983,0
0.7058823529411766,1.0000000000000002,0
0.5882352941176472,0.9487179487179489,0
0.5294117647058822,0.7264957264957266,0
0.6470588235294117,0.7863247863247864,0
0.0,0.0,1
0.05882352941176472,0.02564102564102566,1
0.11764705882352944,0.05128205128205132,1
0.17647058823529416,0.03846153846153849,1
0.3529411764705883,0.06837606837606841,1
0.8235294117647061,0.17094017094017094,2
0.8823529411764706,0.1538461538461539,2
1.0,0.16239316239316243,2
0.7647058823529411,0.29914529914529914,2
0.8823529411764706,0.3162393162393163,2
0.7647058823529411,0.1111111111111111,2
