,area,monroe township,robinsville,price,Predicted Price
0,2600,1,0,550000,539709.7398409044
1,3000,1,0,565000,590468.7164050769
2,3200,1,0,610000,615848.204687163
3,3600,1,0,680000,666607.1812513355
4,4000,1,0,725000,717366.1578155081
5,2600,0,0,585000,579723.7153300465
6,2800,0,0,615000,605103.2036121327
7,3300,0,0,650000,668551.9243173483
8,3600,0,0,710000,706621.1567404778
9,2600,0,1,575000,565396.1513653077
10,2900,0,1,600000,603465.3837884371
11,3100,0,1,620000,628844.8720705233
12,3600,0,1,695000,692293.592775739
